0078C93 // data[  0] = 494739
04885AB // data[  1] = 4752811
06700EC // data[  2] = 6750444
0634A6D // data[  3] = 6507117
0364A5F // data[  4] = 3557983
0700828 // data[  5] = 7342120
022E5D5 // data[  6] = 2287061
02CDF68 // data[  7] = 2940776
0280EEB // data[  8] = 2625259
06958A1 // data[  9] = 6903969
060A956 // data[ 10] = 6334806
056CCFB // data[ 11] = 5688571
04D80E0 // data[ 12] = 5079264
029900A // data[ 13] = 2723850
00957BA // data[ 14] = 612282
0655DAD // data[ 15] = 6643117
05359B2 // data[ 16] = 5462450
0494F24 // data[ 17] = 4804388
046F4CB // data[ 18] = 4650187
0735668 // data[ 19] = 7558760
049D777 // data[ 20] = 4839287
0457190 // data[ 21] = 4551056
005E6BC // data[ 22] = 386748
01E3805 // data[ 23] = 1980421
0170713 // data[ 24] = 1509139
02A7E77 // data[ 25] = 2784887
02B3CAC // data[ 26] = 2833580
01BF9E5 // data[ 27] = 1833445
05E227E // data[ 28] = 6169214
07D0544 // data[ 29] = 8193348
0245D77 // data[ 30] = 2383223
06A140B // data[ 31] = 6951947
007492D // data[ 32] = 477485
04FA3BD // data[ 33] = 5219261
079C6CB // data[ 34] = 7980747
023BB74 // data[ 35] = 2341748
0063FB6 // data[ 36] = 409526
0605969 // data[ 37] = 6314345
021F9AF // data[ 38] = 2226607
014B3D9 // data[ 39] = 1356761
01EF2CD // data[ 40] = 2028237
070DE95 // data[ 41] = 7397013
07C8956 // data[ 42] = 8161622
07A149C // data[ 43] = 8000668
00BD702 // data[ 44] = 775938
005A13E // data[ 45] = 368958
049943A // data[ 46] = 4822074
03A8663 // data[ 47] = 3835491
0736DCE // data[ 48] = 7564750
01560C9 // data[ 49] = 1401033
041813E // data[ 50] = 4292926
026E094 // data[ 51] = 2547860
00F2EA5 // data[ 52] = 994981
0746C8C // data[ 53] = 7629964
017F783 // data[ 54] = 1570691
07962A5 // data[ 55] = 7955109
00D7ABF // data[ 56] = 883391
03B13CE // data[ 57] = 3871694
04F6217 // data[ 58] = 5202455
014EB34 // data[ 59] = 1370932
07B5103 // data[ 60] = 8081667
01D0368 // data[ 61] = 1901416
0057C9B // data[ 62] = 359579
0280CD5 // data[ 63] = 2624725
011955F // data[ 64] = 1152351
065CF48 // data[ 65] = 6672200
0580BB5 // data[ 66] = 5770165
05C47B7 // data[ 67] = 6047671
01BA509 // data[ 68] = 1811721
0505897 // data[ 69] = 5265559
063AAF3 // data[ 70] = 6531827
057FA22 // data[ 71] = 5765666
01F9DD1 // data[ 72] = 2072017
07E1B79 // data[ 73] = 8264569
00802AB // data[ 74] = 524971
0483BFD // data[ 75] = 4733949
079CAC4 // data[ 76] = 7981764
03A9B32 // data[ 77] = 3840818
06AD8F8 // data[ 78] = 7002360
0784A7F // data[ 79] = 7883391
025AE5A // data[ 80] = 2469466
01B8582 // data[ 81] = 1803650
055B0B0 // data[ 82] = 5615792
021456E // data[ 83] = 2180462
0535448 // data[ 84] = 5461064
06913C9 // data[ 85] = 6886345
0401560 // data[ 86] = 4199776
023E0C7 // data[ 87] = 2351303
0247E11 // data[ 88] = 2391569
066A5A6 // data[ 89] = 6727078
06639E3 // data[ 90] = 6699491
0108291 // data[ 91] = 1082001
012C7D2 // data[ 92] = 1230802
03307ED // data[ 93] = 3344365
0560811 // data[ 94] = 5638161
031ED3E // data[ 95] = 3271998
07729FE // data[ 96] = 7809534
05CC338 // data[ 97] = 6079288
01642B7 // data[ 98] = 1458871
015D8EE // data[ 99] = 1431790
0566A68 // data[100] = 5663336
0358976 // data[101] = 3508598
04584F4 // data[102] = 4556020
044C5E4 // data[103] = 4507108
0146C90 // data[104] = 1338512
0579A21 // data[105] = 5741089
056016A // data[106] = 5636458
00118FA // data[107] = 71930
028483C // data[108] = 2639932
07F66DE // data[109] = 8349406
00EF01E // data[110] = 978974
003E7F6 // data[111] = 255990
01A511F // data[112] = 1724703
0524610 // data[113] = 5391888
04FD9E2 // data[114] = 5233122
05E92F8 // data[115] = 6198008
00518D8 // data[116] = 334040
048FAFE // data[117] = 4782846
067B04F // data[118] = 6795343
0204814 // data[119] = 2115604
039D34D // data[120] = 3789645
04EBEB1 // data[121] = 5160625
0767190 // data[122] = 7762320
05D05E2 // data[123] = 6096354
03E711B // data[124] = 4092187
036F093 // data[125] = 3600531
011FD5A // data[126] = 1178970
0460A8C // data[127] = 4590220
0764D24 // data[128] = 7752996
060C6DC // data[129] = 6342364
00A80B8 // data[130] = 688312
046E418 // data[131] = 4645912
06CD745 // data[132] = 7132997
03CC408 // data[133] = 3982344
059A389 // data[134] = 5874569
