7FDFFF	 // data[  0] = 8380415
000001	 // data[  1] = 1
7FE000	 // data[  2] = 8380416
7FDFFF	 // data[  3] = 8380415
000002	 // data[  4] = 2
000002	 // data[  5] = 2
7FDFFF	 // data[  6] = 8380415
000002	 // data[  7] = 2
000001	 // data[  8] = 1
000002	 // data[  9] = 2
000002	 // data[ 10] = 2
000001	 // data[ 11] = 1
7FDFFF	 // data[ 12] = 8380415
000002	 // data[ 13] = 2
7FE000	 // data[ 14] = 8380416
7FDFFF	 // data[ 15] = 8380415
7FE000	 // data[ 16] = 8380416
000002	 // data[ 17] = 2
7FDFFF	 // data[ 18] = 8380415
000000	 // data[ 19] = 0
7FE000	 // data[ 20] = 8380416
000002	 // data[ 21] = 2
7FE000	 // data[ 22] = 8380416
000001	 // data[ 23] = 1
000002	 // data[ 24] = 2
000002	 // data[ 25] = 2
7FDFFF	 // data[ 26] = 8380415
000000	 // data[ 27] = 0
7FDFFF	 // data[ 28] = 8380415
000001	 // data[ 29] = 1
000000	 // data[ 30] = 0
000002	 // data[ 31] = 2
000002	 // data[ 32] = 2
7FDFFF	 // data[ 33] = 8380415
000000	 // data[ 34] = 0
7FE000	 // data[ 35] = 8380416
000001	 // data[ 36] = 1
000001	 // data[ 37] = 1
7FDFFF	 // data[ 38] = 8380415
7FDFFF	 // data[ 39] = 8380415
7FE000	 // data[ 40] = 8380416
7FDFFF	 // data[ 41] = 8380415
000000	 // data[ 42] = 0
7FE000	 // data[ 43] = 8380416
000000	 // data[ 44] = 0
7FE000	 // data[ 45] = 8380416
000000	 // data[ 46] = 0
7FE000	 // data[ 47] = 8380416
000002	 // data[ 48] = 2
000002	 // data[ 49] = 2
7FDFFF	 // data[ 50] = 8380415
000000	 // data[ 51] = 0
000000	 // data[ 52] = 0
7FDFFF	 // data[ 53] = 8380415
7FE000	 // data[ 54] = 8380416
000001	 // data[ 55] = 1
000000	 // data[ 56] = 0
000002	 // data[ 57] = 2
000000	 // data[ 58] = 0
7FDFFF	 // data[ 59] = 8380415
000000	 // data[ 60] = 0
000001	 // data[ 61] = 1
000001	 // data[ 62] = 1
000000	 // data[ 63] = 0
7FDFFF	 // data[ 64] = 8380415
7FE000	 // data[ 65] = 8380416
7FDFFF	 // data[ 66] = 8380415
000001	 // data[ 67] = 1
7FDFFF	 // data[ 68] = 8380415
7FE000	 // data[ 69] = 8380416
000002	 // data[ 70] = 2
000000	 // data[ 71] = 0
000002	 // data[ 72] = 2
000001	 // data[ 73] = 1
7FDFFF	 // data[ 74] = 8380415
000000	 // data[ 75] = 0
000001	 // data[ 76] = 1
000000	 // data[ 77] = 0
7FE000	 // data[ 78] = 8380416
000002	 // data[ 79] = 2
7FDFFF	 // data[ 80] = 8380415
000000	 // data[ 81] = 0
000000	 // data[ 82] = 0
000000	 // data[ 83] = 0
000002	 // data[ 84] = 2
7FE000	 // data[ 85] = 8380416
000002	 // data[ 86] = 2
000000	 // data[ 87] = 0
000002	 // data[ 88] = 2
7FDFFF	 // data[ 89] = 8380415
000002	 // data[ 90] = 2
000002	 // data[ 91] = 2
000000	 // data[ 92] = 0
000002	 // data[ 93] = 2
000002	 // data[ 94] = 2
000000	 // data[ 95] = 0
7FE000	 // data[ 96] = 8380416
000001	 // data[ 97] = 1
7FDFFF	 // data[ 98] = 8380415
000002	 // data[ 99] = 2
000001	 // data[100] = 1
000002	 // data[101] = 2
000002	 // data[102] = 2
7FDFFF	 // data[103] = 8380415
000001	 // data[104] = 1
000001	 // data[105] = 1
000001	 // data[106] = 1
7FE000	 // data[107] = 8380416
000001	 // data[108] = 1
000002	 // data[109] = 2
000000	 // data[110] = 0
000001	 // data[111] = 1
000002	 // data[112] = 2
7FE000	 // data[113] = 8380416
7FE000	 // data[114] = 8380416
000000	 // data[115] = 0
7FE000	 // data[116] = 8380416
7FDFFF	 // data[117] = 8380415
000001	 // data[118] = 1
000000	 // data[119] = 0
000001	 // data[120] = 1
000000	 // data[121] = 0
7FE000	 // data[122] = 8380416
7FDFFF	 // data[123] = 8380415
7FE000	 // data[124] = 8380416
7FDFFF	 // data[125] = 8380415
000002	 // data[126] = 2
000000	 // data[127] = 0
7FDFFF	 // data[128] = 8380415
7FDFFF	 // data[129] = 8380415
7FDFFF	 // data[130] = 8380415
000001	 // data[131] = 1
7FDFFF	 // data[132] = 8380415
000002	 // data[133] = 2
000001	 // data[134] = 1
000001	 // data[135] = 1
000001	 // data[136] = 1
000002	 // data[137] = 2
7FDFFF	 // data[138] = 8380415
000000	 // data[139] = 0
000001	 // data[140] = 1
000001	 // data[141] = 1
7FE000	 // data[142] = 8380416
7FE000	 // data[143] = 8380416
7FE000	 // data[144] = 8380416
7FE000	 // data[145] = 8380416
7FDFFF	 // data[146] = 8380415
000000	 // data[147] = 0
000002	 // data[148] = 2
7FDFFF	 // data[149] = 8380415
000000	 // data[150] = 0
000001	 // data[151] = 1
7FDFFF	 // data[152] = 8380415
7FE000	 // data[153] = 8380416
000001	 // data[154] = 1
000000	 // data[155] = 0
7FE000	 // data[156] = 8380416
000001	 // data[157] = 1
000001	 // data[158] = 1
000001	 // data[159] = 1
7FDFFF	 // data[160] = 8380415
7FE000	 // data[161] = 8380416
000002	 // data[162] = 2
000002	 // data[163] = 2
7FDFFF	 // data[164] = 8380415
7FDFFF	 // data[165] = 8380415
7FDFFF	 // data[166] = 8380415
7FE000	 // data[167] = 8380416
000001	 // data[168] = 1
7FDFFF	 // data[169] = 8380415
000002	 // data[170] = 2
000001	 // data[171] = 1
000002	 // data[172] = 2
7FE000	 // data[173] = 8380416
000002	 // data[174] = 2
7FE000	 // data[175] = 8380416
000000	 // data[176] = 0
000001	 // data[177] = 1
7FDFFF	 // data[178] = 8380415
000002	 // data[179] = 2
000001	 // data[180] = 1
000001	 // data[181] = 1
000002	 // data[182] = 2
7FE000	 // data[183] = 8380416
7FDFFF	 // data[184] = 8380415
7FDFFF	 // data[185] = 8380415
7FDFFF	 // data[186] = 8380415
7FDFFF	 // data[187] = 8380415
7FDFFF	 // data[188] = 8380415
000002	 // data[189] = 2
000001	 // data[190] = 1
7FDFFF	 // data[191] = 8380415
7FE000	 // data[192] = 8380416
7FDFFF	 // data[193] = 8380415
000000	 // data[194] = 0
000000	 // data[195] = 0
000000	 // data[196] = 0
7FDFFF	 // data[197] = 8380415
7FE000	 // data[198] = 8380416
000000	 // data[199] = 0
000001	 // data[200] = 1
7FDFFF	 // data[201] = 8380415
000001	 // data[202] = 1
000000	 // data[203] = 0
7FE000	 // data[204] = 8380416
000000	 // data[205] = 0
000001	 // data[206] = 1
7FE000	 // data[207] = 8380416
7FDFFF	 // data[208] = 8380415
000000	 // data[209] = 0
7FDFFF	 // data[210] = 8380415
000000	 // data[211] = 0
7FE000	 // data[212] = 8380416
7FDFFF	 // data[213] = 8380415
7FDFFF	 // data[214] = 8380415
000002	 // data[215] = 2
000000	 // data[216] = 0
000002	 // data[217] = 2
7FDFFF	 // data[218] = 8380415
000001	 // data[219] = 1
000001	 // data[220] = 1
000002	 // data[221] = 2
7FE000	 // data[222] = 8380416
7FDFFF	 // data[223] = 8380415
7FDFFF	 // data[224] = 8380415
7FDFFF	 // data[225] = 8380415
000000	 // data[226] = 0
7FE000	 // data[227] = 8380416
7FE000	 // data[228] = 8380416
000001	 // data[229] = 1
000001	 // data[230] = 1
000001	 // data[231] = 1
000000	 // data[232] = 0
7FE000	 // data[233] = 8380416
7FDFFF	 // data[234] = 8380415
000002	 // data[235] = 2
000000	 // data[236] = 0
7FE000	 // data[237] = 8380416
7FE000	 // data[238] = 8380416
000002	 // data[239] = 2
000000	 // data[240] = 0
000000	 // data[241] = 0
7FE000	 // data[242] = 8380416
7FDFFF	 // data[243] = 8380415
7FE000	 // data[244] = 8380416
7FDFFF	 // data[245] = 8380415
7FE000	 // data[246] = 8380416
000002	 // data[247] = 2
000002	 // data[248] = 2
7FDFFF	 // data[249] = 8380415
7FDFFF	 // data[250] = 8380415
000000	 // data[251] = 0
000001	 // data[252] = 1
7FE000	 // data[253] = 8380416
000002	 // data[254] = 2
000000	 // data[255] = 0
